State,Population,Working age population (%),Aboriginal and Torres Strait Islander population,ATSILanguage (%),Persons born overseas,Preschool enrolments,Median house price ($),Median total income ($),Total businesses,Number of jobs,Median weekly rent ($),Median monthly mortgage ($),Land area (ha),Protected land area (ha),Unemployment rate (%),Average weekly earnings ($),Population growth (%),Cost of living index (Australia=100)
Australian Capital Territory,"473,855",68.6,"9,525",3.0,"130,392","6,489","$990,000","$72,115","36,316","429,188",$450,"$2,080","235,813.3","131,901.0",3.8,"$2,055.0",1.8,119.5
New South Wales,"8,479,314",64.7,"339,710",1.9,"2,362,364","105,489","$1,000,000","$55,105","896,560","6,970,173",$420,"$2,167","80,079,765.9","8,359,846.0",3.8,"$1,986.0",2.0,118.8
Victoria,"6,978,719",65.9,"78,696",1.6,"1,947,351","97,154","$753,800","$54,708","737,915","5,843,754",$370,"$1,859","22,749,624.8","4,020,366.0",4.3,"$1,882.0",2.7,98.4
South Australia,"1,878,011",63.1,"52,069",10.8,"427,649","20,053","$680,000","$53,353","164,454","1,514,410",$300,"$1,500","98,423,142.0","29,936,077.0",4.2,"$1,741.0",1.5,82.6
Western Australia,"2,965,078",65.5,"120,006",13.9,"856,021","34,461","$645,000","$59,426","255,396","2,565,153",$340,"$1,842","252,663,248.3","78,586,567.0",3.6,"$2,189.0",3.1,90.7
Northern Territory,"255,069",70.2,"76,487",63.0,"50,647","3,193","$560,000","$65,301","16,380","228,310",$325,"$2,000","134,813,449.3","33,172,235.0",4.2,"$1,908.0",0.8,88.6
Other Territories,"4,994",62.7,240,6.1,"1,373",37,"$410,000",,"1,504",,$200,"$1,300","25,574.2","14,833.0",,,,58.6
Queensland,"5,583,833",64.8,"273,119",8.4,"1,167,966","62,817","$730,000","$54,076","510,444","4,667,761",$365,"$1,733","173,017,122.1","16,173,197.0",4.0,"$1,864.0",2.5,94.6
Tasmania,"575,496",62.1,"33,857",0.6,"85,508","7,607","$598,000","$50,645","44,029","477,860",$290,"$1,313","6,801,753.9","2,862,987.0",4.1,"$1,655.0",0.4,74.8
